Outcome, Balls, Called_Strikes, Whiffs, Fouls, EV, LA, Sprint_Speed
Single, 3, 1, 0, 2, 96.9, 16, 25.3
Strikeout, 2, 1, 2, 0, None, None, 25.3
Flyout, 1, 1, 0, 0, 90.6, 42, 25.3
Groundout, 0, 0, 0, 0, 91.0, 3, 25.3
Single, 0, 1, 0, 0, 102.5, -25, 25.3
Groundout, 0, 0, 0, 1, 102.9, -6, 25.3
Walk, 4, 0, 2, 0, None, None, 25.3
Groundout, 1, 0, 2, 1, 74.6, 6, 25.3
Strikeout, 3, 0, 1, 2, None, None, 25.3
Strikeout, 0, 1, 2, 0, None, None, 25.3
Strikeout, 1, 1, 1, 1, None, None, 25.3
Groundout, 0, 0, 0, 0, 76.8, -51, 25.3
Single, 0, 1, 0, 1, 86.6, 15, 25.3
Flyout, 0, 0, 0, 0, 88.4, 54, 25.3
Single, 0, 1, 0, 0, 69.2, 37, 25.3
Groundout, 1, 1, 0, 0, 64.9, -48, 25.3
Groundout, 3, 0, 1, 0, 71.9, -30, 25.3
Lineout, 3, 1, 0, 0, 98.2, 17, 25.3
Walk, 4, 1, 0, 1, None, None, 25.3
Flyout, 2, 0, 1, 1, 88.9, 61, 25.3
Groundout, 1, 0, 0, 0, 104.5, -15, 25.3
Strikeout, 2, 1, 1, 1, None, None, 25.3
GIDP, 0, 0, 1, 0, 63.3, -16, 25.3
Strikeout, 3, 2, 1, 0, None, None, 25.3
Strikeout, 0, 0, 1, 2, None, None, 25.3
Field Error, 0, 1, 0, 0, 84.2, 39, 25.3
Single, 3, 1, 0, 1, 108.6, -18, 25.3
Strikeout, 1, 1, 2, 0, None, None, 25.3
Field Error, 1, 0, 0, 1, 110.2, -17, 25.3
Home Run, 0, 0, 0, 1, 106.0, 37, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Strikeout, 1, 0, 2, 1, None, None, 25.3
Flyout, 1, 0, 2, 0, 73.1, 32, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Pop Out, 3, 2, 0, 0, 87.2, 58, 25.3
Strikeout, 1, 0, 2, 1, None, None, 25.3
Strikeout, 3, 0, 1, 2, None, None, 25.3
Walk, 4, 0, 1, 0, None, None, 25.3
Single, 2, 0, 1, 1, 97.0, 2, 25.3
Flyout, 1, 0, 0, 1, 76.9, 30, 25.3
Single, 0, 0, 0, 0, 102.7, -22, 25.3
Groundout, 1, 1, 0, 1, 89.3, 4, 25.3
Strikeout, 0, 2, 1, 0, None, None, 25.3
Strikeout, 3, 2, 1, 0, None, None, 25.3
Flyout, 1, 1, 0, 1, 88.2, 41, 25.3
Pop Out, 0, 0, 0, 0, 93.1, 75, 25.3
Strikeout, 2, 1, 2, 0, None, None, 25.3
Lineout, 0, 0, 0, 0, 109.0, 11, 25.3
Strikeout, 1, 2, 1, 0, None, None, 25.3
Single, 2, 1, 0, 1, 99.4, 26, 25.3
Strikeout, 1, 0, 2, 2, None, None, 25.3
Pop Out, 2, 1, 0, 3, 86.6, 71, 25.3
Flyout, 3, 0, 1, 3, 96.6, 31, 25.3
Groundout, 0, 0, 0, 0, 110.4, -3, 25.3
Forceout, 0, 0, 0, 0, 84.0, -59, 25.3
Double, 2, 1, 1, 2, 101.3, 15, 25.3
Strikeout, 3, 2, 1, 0, None, None, 25.3
Groundout, 3, 1, 0, 3, 103.2, -15, 25.3
Forceout, 3, 0, 0, 1, 105.1, -4, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Groundout, 2, 1, 1, 0, 93.1, -5, 25.3
Home Run, 0, 0, 0, 0, 104.0, 24, 25.3
Single, 0, 0, 0, 0, 99.7, -4, 25.3
Double, 0, 0, 0, 0, 102.1, 23, 25.3
GIDP, 0, 0, 0, 0, 76.0, -2, 25.3
Groundout, 3, 0, 2, 1, 84.9, -21, 25.3
Flyout, 0, 1, 0, 0, 92.5, 32, 25.3
Groundout, 2, 0, 1, 1, 79.4, -49, 25.3
Single, 0, 0, 0, 0, 105.9, 13, 25.3
Groundout, 2, 1, 0, 0, 109.3, -3, 25.3
Groundout, 0, 0, 0, 0, 103.5, -5, 25.3
Groundout, 0, 0, 0, 0, 98.3, -20, 25.3
Strikeout, 0, 2, 0, 1, None, None, 25.3
Lineout, 3, 0, 1, 1, 101.6, 15, 25.3
Lineout, 1, 0, 0, 0, 80.7, 27, 25.3
Lineout, 2, 1, 0, 1, 101.0, 6, 25.3
Groundout, 1, 0, 0, 1, 67.8, -39, 25.3
Pop Out, 1, 1, 0, 0, 75.8, 58, 25.3
Single, 1, 0, 1, 0, 106.3, -11, 25.3
Hit By Pitch, 2, 0, 0, 1, None, None, 25.3
Flyout, 2, 2, 0, 0, 91.4, 30, 25.3
Groundout, 3, 1, 0, 2, 73.9, -11, 25.3
Forceout, 2, 1, 0, 0, 75.2, -12, 25.3
Groundout, 2, 0, 1, 2, 82.2, -18, 25.3
Groundout, 2, 0, 0, 2, 67.7, -32, 25.3
Lineout, 2, 0, 0, 0, 116.1, 7, 25.3
Triple, 2, 1, 0, 1, 96.2, 38, 25.3
Double, 2, 0, 0, 2, 102.6, -20, 25.3
Double, 1, 0, 0, 0, 106.5, 15, 25.3
Walk, 4, 1, 1, 1, None, None, 25.3
Groundout, 1, 0, 1, 4, 108.7, 4, 25.3
Flyout, 2, 0, 0, 1, 95.8, 37, 25.3
Single, 0, 0, 0, 0, 74.8, 23, 25.3
Single, 0, 0, 0, 0, 75.9, 11, 25.3
Double, 2, 0, 1, 1, 113.7, -7, 25.3
Groundout, 1, 0, 1, 0, 90.0, -7, 25.3
Forceout, 3, 0, 2, 0, 69.9, -50, 25.3
Groundout, 0, 1, 0, 0, 114.4, None, 25.3
Home Run, 1, 0, 0, 1, 105.3, 29, 25.3
Single, 2, 1, 1, 0, 104.7, 1, 25.3
Single, 2, 0, 0, 1, 113.9, 8, 25.3
Flyout, 0, 0, 1, 0, 93.5, 29, 25.3
Single, 0, 1, 0, 0, 115.5, 4, 25.3
Single, 0, 1, 0, 0, 107.9, -5, 25.3
Flyout, 1, 1, 1, 0, 83.4, 41, 25.3
Groundout, 0, 1, 0, 1, 97.2, -19, 25.3
Flyout, 1, 0, 0, 0, 74.7, 47, 25.3
Strikeout, 2, 3, 0, 2, None, None, 25.3
Field Error, 0, 0, 0, 1, 69.0, -35, 25.3
Fielders Choice, 2, 0, 2, 1, 91.3, -51, 25.3
Strikeout, 2, 2, 0, 2, None, None, 25.3
Home Run, 0, 0, 0, 0, 103.3, 24, 25.3
Groundout, 2, 1, 1, 0, 99.2, -33, 25.3
Flyout, 2, 0, 0, 0, 97.8, 40, 25.3
Single, 0, 0, 0, 1, 94.2, 10, 25.3
Double Play, 2, 1, 0, 1, 83.7, 7, 25.3
Home Run, 2, 0, 0, 0, 94.4, 31, 25.3
Groundout, 0, 0, 0, 0, 62.5, -40, 25.3
Home Run, 0, 0, 0, 0, 100.7, 35, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Double Play, 2, 0, 0, 0, 87.8, 9, 25.3
Single, 3, 1, 0, 0, 96.2, 5, 25.3
Groundout, 2, 0, 0, 1, 88.0, -1, 25.3
Flyout, 0, 1, 0, 0, 67.0, 36, 25.3
Forceout, 2, 1, 1, 0, 87.0, -6, 25.3
Single, 1, 1, 0, 0, 69.6, 36, 25.3
Strikeout, 0, 3, 0, 0, None, None, 25.3
GIDP, 0, 2, 0, 0, 87.0, 6, 25.3
Flyout, 0, 0, 0, 2, 90.1, 30, 25.3
Pop Out, 2, 1, 0, 2, 65.5, 53, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Single, 3, 2, 0, 0, 96.0, -1, 25.3
Single, 1, 1, 0, 1, 73.1, 30, 25.3
Lineout, 3, 0, 0, 2, 96.4, 17, 25.3
Groundout, 0, 2, 0, 0, 60.4, 3, 25.3
Groundout, 2, 0, 0, 0, 39.5, -21, 25.3
Walk, 4, 2, 0, 0, None, None, 25.3
GIDP, 0, 0, 0, 0, 58.5, -19, 25.3
Flyout, 0, 0, 0, 1, 75.4, 30, 25.3
Groundout, 2, 0, 1, 1, 83.3, -8, 25.3
Intent Walk, 2, 0, 0, 0, None, None, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Home Run, 1, 0, 0, 1, 96.9, 31, 25.3
Flyout, 0, 1, 0, 0, 99.1, 44, 25.3
Groundout, 1, 1, 0, 0, 77.9, -20, 25.3
Flyout, 2, 0, 0, 0, 87.5, 37, 25.3
Groundout, 1, 1, 0, 0, 92.2, -12, 25.3
Groundout, 0, 0, 0, 0, 64.2, -23, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Flyout, 1, 2, 0, 0, 94.1, 32, 25.3
Home Run, 3, 0, 1, 1, 101.9, 37, 25.3
Groundout, 1, 1, 0, 2, 89.6, 1, 25.3
Groundout, 1, 1, 1, 0, 91.6, -4, 25.3
Walk, 4, 1, 0, 3, None, None, 25.3
Lineout, 1, 0, 0, 0, 100.3, 23, 25.3
Single, 0, 0, 1, 0, 81.5, 17, 25.3
Groundout, 1, 1, 0, 0, 82.5, -14, 25.3
Flyout, 3, 1, 0, 0, 85.0, 47, 25.3
Flyout, 1, 1, 0, 0, 97.5, 37, 25.3
GIDP, 0, 0, 2, 0, 81.5, -16, 25.3
Walk, 4, 1, 1, 1, None, None, 25.3
Lineout, 3, 0, 0, 0, 105.1, 19, 25.3
Walk, 4, 1, 1, 1, None, None, 25.3
Fielders Choice, 1, 1, 0, 0, 92.7, None, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Lineout, 0, 0, 0, 0, 96.9, 25, 25.3
Double Play, 0, 0, 0, 0, 82.9, 47, 25.3
Strikeout, 0, 0, 2, 1, None, None, 25.3
Flyout, 1, 1, 0, 1, 81.3, 39, 25.3
Flyout, 1, 1, 1, 0, 96.1, 46, 25.3
Flyout, 3, 2, 0, 0, 96.3, 50, 25.3
Flyout, 3, 1, 0, 2, 102.0, 55, 25.3
Single, 0, 0, 0, 0, 100.0, 11, 25.3
Groundout, 2, 0, 0, 2, 54.9, -42, 25.3
Strikeout, 1, 2, 1, 0, None, None, 25.3
Walk, 4, 0, 1, 0, None, None, 25.3
Double, 0, 0, 0, 0, 101.0, 32, 25.3
Walk, 4, 2, 0, 0, None, None, 25.3
Groundout, 0, 0, 0, 0, 89.1, -18, 25.3
Lineout, 3, 1, 0, 0, 82.8, 16, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Groundout, 2, 0, 0, 0, 70.5, -22, 25.3
Strikeout, 1, 1, 1, 1, None, None, 25.3
Single, 1, 0, 0, 0, 96.5, 4, 25.3
Walk, 4, 2, 0, 0, None, None, 25.3
Flyout, 1, 0, 0, 1, 93.3, 43, 25.3
Strikeout, 1, 2, 1, 1, None, None, 25.3
Double, 2, 1, 1, 0, 105.6, 18, 25.3
Strikeout, 3, 2, 0, 2, None, None, 25.3
Single, 2, 1, 1, 2, 86.7, 4, 25.3
Walk, 4, 0, 2, 2, None, None, 25.3
Strikeout, 1, 3, 0, 0, None, None, 25.3
Flyout, 3, 1, 1, 0, 87.1, 53, 25.3
Flyout, 0, 1, 0, 0, 80.5, 37, 25.3
Home Run, 1, 0, 0, 0, 102.5, 31, 25.3
Strikeout, 2, 2, 0, 1, None, None, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Single, 3, 0, 1, 0, 104.3, 13, 25.3
Flyout, 0, 1, 1, 0, 82.6, 41, 25.3
Lineout, 2, 2, 0, 0, 92.4, 24, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Strikeout, 3, 2, 1, 0, None, None, 25.3
Strikeout, 2, 1, 2, 0, None, None, 25.3
GIDP, 2, 1, 0, 0, 97.4, -3, 25.3
Single, 3, 0, 1, 0, 104.3, 13, 25.3
Flyout, 0, 1, 1, 0, 82.6, 41, 25.3
Lineout, 2, 2, 0, 0, 92.4, 24, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Field Error, 2, 2, 0, 0, 93.7, 2, 25.3
Single, 0, 0, 0, 0, 79.2, 18, 25.3
Flyout, 0, 0, 0, 1, 93.1, 29, 25.3
Groundout, 2, 1, 1, 0, 80.7, -14, 25.3
Double, 3, 2, 0, 0, 88.2, 7, 25.3
Groundout, 0, 0, 0, 0, 77.8, -13, 25.3
Lineout, 0, 1, 0, 1, 91.9, 21, 25.3
Strikeout, 0, 2, 0, 1, None, None, 25.3
Pop Out, 2, 0, 1, 1, 71.8, 60, 25.3
Groundout, 3, 0, 2, 0, 73.6, 14, 25.3
Strikeout, 3, 3, 0, 0, None, None, 25.3
Flyout, 0, 0, 0, 0, 91.5, 38, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Flyout, 2, 2, 0, 0, 73.3, 31, 25.3
Flyout, 1, 1, 0, 4, 89.5, 39, 25.3
Groundout, 0, 0, 0, 0, 91.7, 3, 25.3
GIDP, 1, 0, 0, 0, 75.5, -11, 25.3
Flyout, 1, 2, 0, 3, 76.0, 31, 25.3
Groundout, 0, 0, 0, 0, 64.5, -2, 25.3
Flyout, 0, 0, 0, 0, 92.5, 32, 25.3
Walk, 4, 1, 0, 1, None, None, 25.3
Strikeout, 0, 0, 3, 0, None, None, 25.3
Strikeout, 2, 2, 0, 2, None, None, 25.3
Strikeout, 3, 2, 0, 1, None, None, 25.3
Strikeout, 0, 3, 0, 0, None, None, 25.3
Flyout, 1, 2, 0, 1, 91.0, 30, 25.3
Double, 1, 0, 0, 0, 103.5, 22, 25.3
Single, 1, 1, 0, 0, 91.7, 13, 25.3
Groundout, 0, 1, 0, 1, 80.2, -5, 25.3
Home Run, 1, 0, 0, 1, 96.9, 31, 25.3
Flyout, 0, 1, 0, 0, 99.1, 44, 25.3
Groundout, 3, 2, 0, 1, 65.1, -13, 25.3
Strikeout, 3, 2, 0, 1, None, None, 25.3
Home Run, 3, 2, 0, 0, 99.7, 31, 25.3
Walk, 4, 1, 1, 0, None, None, 25.3
Single, 1, 2, 0, 0, 90.8, -2, 25.3
Strikeout, 2, 1, 2, 2, None, None, 25.3
Groundout, 0, 0, 0, 0, 72.1, -32, 25.3
Single, 0, 0, 0, 0, 95.2, 15, 25.3
Walk, 4, 0, 1, 1, None, None, 25.3
Single, 2, 0, 0, 0, 79.6, 4, 25.3
Home Run, 3, 0, 0, 1, 100.6, 38, 25.3
Groundout, 1, 1, 1, 0, 77.0, -1, 25.3
Strikeout, 2, 1, 1, 1, None, None, 25.3
Groundout, 3, 0, 0, 3, 68.3, -7, 25.3
Flyout, 0, 0, 1, 0, 96.3, 26, 25.3
Single, 0, 0, 1, 1, 100.1, 14, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Single, 2, 1, 0, 1, 97.0, 9, 25.3
Strikeout, 2, 2, 1, 0, None, None, 25.3
Strikeout, 0, 2, 1, 0, None, None, 25.3
Walk, 4, 0, 2, 2, None, None, 25.3
Strikeout, 1, 3, 0, 0, None, None, 25.3
Flyout, 3, 1, 1, 0, 87.1, 53, 25.3
Flyout, 0, 0, 0, 0, 82.1, 37, 25.3
Double, 0, 0, 0, 0, 105.4, 18, 25.3
Flyout, 1, 1, 0, 0, 89.8, 55, 25.3
Strikeout, 3, 2, 0, 1, None, None, 25.3
Lineout, 2, 0, 1, 1, 95.7, 15, 25.3
Lineout, 0, 0, 0, 0, 106.3, 22, 25.3
Walk, 4, 2, 0, 0, None, None, 25.3
Strikeout, 0, 0, 2, 2, None, None, 25.3
Strikeout, 2, 1, 2, 0, None, None, 25.3
Flyout, 0, 1, 0, 0, 71.7, 35, 25.3
Flyout, 1, 0, 1, 0, 103.1, 45, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Lineout, 1, 2, 0, 0, 83.1, 26, 25.3
Lineout, 1, 1, 0, 0, 82.4, 18, 25.3
Strikeout, 1, 0, 2, 2, None, None, 25.3
Strikeout, 0, 2, 1, 1, None, None, 25.3
Groundout, 0, 0, 0, 0, 95.1, -10, 25.3
Single, 2, 1, 0, 1, 102.3, 18, 25.3
Groundout, 0, 1, 1, 0, 67.8, 4, 25.3
Flyout, 1, 2, 0, 4, 97.5, 26, 25.3
Groundout, 0, 1, 0, 0, 101.4, 12, 25.3
Groundout, 2, 2, 0, 1, 87.4, -20, 25.3
Home Run, 3, 1, 0, 0, 113.2, 34, 25.3
Walk, 4, 1, 0, 1, None, None, 25.3
Flyout, 3, 2, 0, 0, 72.9, 36, 25.3
Strikeout, 3, 1, 1, 1, None, None, 25.3
Flyout, 0, 0, 0, 0, 102.1, 38, 25.3
Flyout, 3, 1, 0, 1, 98.2, 43, 25.3
Double, 1, 1, 0, 1, 94.2, 19, 25.3
Strikeout, 2, 2, 0, 3, None, None, 25.3
Strikeout, 2, 2, 1, 0, None, None, 25.3
Single, 3, 0, 0, 0, 107.4, 8, 25.3
Strikeout, 2, 1, 2, 0, None, None, 25.3
Flyout, 1, 0, 0, 0, 81.7, 50, 25.3
Strikeout, 3, 2, 1, 1, None, None, 25.3
Flyout, 2, 1, 0, 0, 100.7, 40, 25.3
Home Run, 0, 0, 0, 0, 101.6, 27, 25.3
Walk, 4, 2, 0, 1, None, None, 25.3
Flyout, 0, 1, 0, 0, 80.5, 37, 25.3
Home Run, 1, 0, 0, 0, 102.5, 31, 25.3
Strikeout, 2, 2, 0, 1, None, None, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Groundout, 0, 0, 0, 0, 68.9, 2, 25.3
Strikeout, 2, 3, 0, 0, None, None, 25.3
Flyout, 0, 0, 0, 0, 94.6, 38, 25.3
Forceout, 2, 2, 0, 1, 83.9, -11, 25.3
Strikeout, 3, 0, 2, 1, None, None, 25.3
Groundout, 3, 1, 0, 1, 75.4, -3, 25.3
Single, 2, 2, 0, 0, 43.9, -54, 25.3
Home Run, 2, 0, 0, 1, 105.6, 24, 25.3
Strikeout, 2, 2, 1, 2, None, None, 25.3
Double, 2, 2, 0, 0, 94.6, 27, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Single, 3, 0, 0, 1, 99.7, 19, 25.3
Strikeout, 1, 1, 2, 0, None, None, 25.3
Single, 1, 0, 0, 0, 84.6, 20, 25.3
Groundout, 0, 1, 0, 2, 76.1, 11, 25.3
Walk, 4, 1, 0, 1, None, None, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Walk, 4, 0, 0, 1, None, None, 25.3
Strikeout, 0, 2, 1, 0, None, None, 25.3
Groundout, 2, 2, 0, 0, 88.5, -18, 25.3
Strikeout, 2, 2, 0, 1, None, None, 25.3
Groundout, 2, 1, 1, 3, 95.9, -3, 25.3
Walk, 4, 0, 1, 0, None, None, 25.3
Groundout, 0, 0, 0, 0, 95.1, 1, 25.3
Flyout, 0, 0, 0, 0, 86.6, 54, 25.3
Groundout, 1, 0, 0, 1, 34.1, -37, 25.3
Strikeout, 1, 1, 1, 1, None, None, 25.3
Home Run, 2, 0, 0, 0, 109.3, 32, 25.3
Strikeout, 2, 2, 1, 0, None, None, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Strikeout, 2, 3, 0, 0, None, None, 25.3
Lineout, 1, 0, 1, 0, 100.3, 13, 25.3
Walk, 4, 0, 1, 0, None, None, 25.3
Strikeout, 2, 1, 1, 1, None, None, 25.3
Groundout, 2, 1, 1, 0, 92.8, -4, 25.3
Flyout, 3, 1, 1, 3, 74.5, 47, 25.3
Double, 2, 0, 0, 0, 109.3, 8, 25.3
Single, 1, 1, 1, 1, 107.5, 21, 25.3
Groundout, 0, 1, 0, 0, 63.8, -23, 25.3
Strikeout, 3, 1, 1, 2, None, None, 25.3
Walk, 4, 0, 0, 0, None, None, 25.3
Flyout, 3, 2, 0, 0, 101.3, 34, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Strikeout, 2, 3, 0, 0, None, None, 25.3
Walk, 4, 1, 0, 0, None, None, 25.3
Double, 1, 1, 1, 0, 99.2, 24, 26.7
Walk, 4, 2, 0, 3, None, None, 26.7
Strikeout, 2, 2, 1, 0, None, None, 26.7
Groundout, 0, 1, 0, 0, 62.3, -34, 26.7
Groundout, 1, 1, 0, 1, 95.6, 2, 26.7
Groundout, 2, 1, 0, 1, 98.0, -1, 26.7
Strikeout, 1, 0, 2, 1, None, None, 26.7
Walk, 4, 2, 0, 1, None, None, 26.7
Strikeout, 3, 2, 1, 2, None, None, 26.7
Strikeout, 0, 0, 2, 3, None, None, 26.7
Flyout, 2, 0, 0, 1, 95.4, 54, 26.7
Strikeout, 2, 0, 1, 4, None, None, 26.7
Strikeout, 2, 2, 1, 1, None, None, 26.7
Strikeout, 1, 1, 1, 1, None, None, 26.7
Strikeout, 2, 1, 1, 1, None, None, 26.7
Lineout, 1, 2, 0, 0, 94.3, 23, 26.7
Flyout, 1, 1, 0, 0, 100.0, 38, 26.7
Flyout, 3, 1, 1, 0, 97.5, 42, 26.7
Hit By Pitch, 0, 1, 1, 0, None, None, 26.7
Pop Out, 2, 1, 0, 0, 89.5, 75, 26.7
Forceout, 1, 0, 1, 0, 95.6, 7, 26.7
Strikeout, 3, 2, 1, 0, None, None, 26.7
Pop Out, 0, 0, 0, 1, 70.7, 50, 26.7
Groundout, 0, 0, 0, 1, 108.3, 9, 26.7
Strikeout, 2, 1, 2, 0, None, None, 26.7
Groundout, 2, 0, 0, 0, 78.5, 7, 26.7
Single, 1, 0, 0, 0, 94.8, 14, 26.7
Walk, 4, 1, 0, 1, None, None, 26.7
Strikeout, 2, 1, 1, 1, None, None, 26.7
Groundout, 3, 1, 1, 3, 67.7, -21, 26.7
Groundout, 1, 0, 1, 0, 72.6, -15, 26.7
Field Error, 2, 0, 0, 0, 83.1, 3, 26.7
Lineout, 3, 0, 2, 2, 100.5, 16, 26.7
Walk, 4, 1, 1, 2, None, None, 26.7
Single, 2, 0, 1, 0, 98.8, 11, 26.7
Strikeout, 0, 2, 1, 0, None, None, 26.7
Single, 1, 0, 0, 2, 101.0, 4, 26.7
Strikeout, 3, 1, 1, 1, None, None, 26.7
Groundout, 1, 1, 0, 1, 98.9, -1, 26.7
Lineout, 0, 0, 0, 0, 97.3, 17, 26.7
Strikeout, 2, 2, 1, 0, None, None, 26.7
Flyout, 0, 1, 0, 2, 103.1, 40, 26.7
Flyout, 0, 0, 0, 0, 100.7, 32, 26.7
Groundout, 1, 1, 0, 0, 73.5, 3, 26.7
Strikeout, 2, 2, 0, 1, None, None, 26.7
Walk, 4, 0, 1, 2, None, None, 26.7
Strikeout, 2, 1, 1, 1, None, None, 26.7
Double, 0, 0, 0, 0, 85.5, 25, 26.7
Groundout, 1, 0, 0, 1, 62.5, -26, 26.7
Home Run, 1, 1, 0, 0, 104.3, 38, 26.7
Strikeout, 2, 2, 0, 3, None, None, 26.7
Single, 0, 1, 1, 0, 96.8, 18, 26.7
Pop Out, 0, 1, 0, 0, 83.1, 65, 26.7
Strikeout, 2, 0, 2, 1, None, None, 26.7
Single, 1, 0, 0, 0, 105.4, 6, 26.7
Walk, 4, 1, 0, 1, None, None, 26.7
Strikeout, 1, 2, 1, 1, None, None, 26.7
Strikeout, 2, 1, 1, 1, None, None, 26.7
Double, 0, 0, 0, 0, 85.5, 25, 26.7
Groundout, 1, 0, 0, 1, 62.5, -26, 26.7
Home Run, 1, 1, 0, 0, 104.3, 38, 26.7
Walk, 4, 0, 0, 1, None, None, 26.7
Double, 1, 1, 1, 1, 102.2, 22, 26.7
Flyout, 0, 1, 0, 0, 76.5, 41, 26.7
Groundout, 2, 0, 2, 0, 71.7, -3, 26.7
Single, 1, 0, 0, 1, 87.8, 15, 26.7
Strikeout, 1, 1, 2, 0, None, None, 26.7
Single, 1, 0, 0, 1, 99.4, 15, 26.7
Strikeout, 3, 1, 2, 1, None, None, 26.7
Single, 3, 1, 0, 0, 107.9, 4, 26.7
Flyout, 1, 0, 0, 0, 89.3, 42, 26.7
Lineout, 3, 1, 0, 0, 105.2, 14, 26.7
Lineout, 2, 1, 0, 0, 87.5, 25, 26.7
Lineout, 3, 1, 0, 2, 100.8, 10, 26.7
Groundout, 2, 1, 0, 2, 86.2, -33, 26.7
Home Run, 2, 1, 0, 0, 99.7, 30, 26.7
Flyout, 2, 1, 1, 1, 82.6, 50, 26.7
Lineout, 0, 1, 0, 0, 95.6, 23, 26.7
Hit By Pitch, 1, 1, 0, 0, None, None, 26.7
Single, 2, 1, 1, 2, 106.7, 12, 26.7
Flyout, 2, 1, 0, 0, 96.1, 29, 26.7
Strikeout, 1, 1, 1, 1, None, None, 26.7
Strikeout, 0, 1, 2, 0, None, None, 26.7
Forceout, 3, 0, 2, 0, 96.4, -19, 26.7
Double, 3, 1, 0, 0, 103.7, 19, 26.7
Groundout, 1, 1, 0, 0, 83.2, -32, 26.7
Flyout, 0, 2, 0, 1, 94.2, 44, 26.7
Pop Out, 2, 0, 1, 0, 86.4, 64, 26.7
Flyout, 0, 0, 0, 0, 92.1, 40, 26.7
Groundout, 1, 1, 0, 1, 75.5, -30, 26.7
Groundout, 1, 0, 0, 0, 80.6, -2, 26.7
Strikeout, 1, 1, 1, 1, None, None, 26.7
Pop Out, 1, 0, 0, 0, 80.6, 57, 26.7
Strikeout, 0, 2, 0, 1, None, None, 26.7
Double, 2, 0, 0, 3, 98.1, 18, 26.7
Groundout, 2, 1, 0, 2, 77.1, -33, 26.7
Strikeout, 2, 2, 0, 3, None, None, 26.7
Single, 0, 1, 1, 0, 96.8, 18, 26.7
Pop Out, 0, 1, 0, 0, 83.1, 65, 26.7
Pop Out, 1, 0, 0, 0, 85.2, 66, 26.7
Lineout, 1, 2, 0, 1, 50.8, 32, 26.7
GIDP, 0, 1, 0, 0, 99.2, -2, 26.7
Walk, 4, 2, 0, 0, None, None, 26.7
Groundout, 3, 0, 1, 3, 64.3, -21, 26.7
Home Run, 2, 1, 0, 0, 102.7, 30, 26.7
Hit By Pitch, 1, 2, 0, 1, None, None, 26.7
Strikeout Double Play, 3, 0, 2, 2, None, None, 25.4
Strikeout, 2, 1, 1, 1, None, None, 25.4
Walk, 4, 0, 0, 2, None, None, 25.4
Pop Out, 0, 0, 0, 0, 89.5, 59, 25.4
Single, 1, 1, 0, 1, 89.7, 9, 25.4
Groundout, 2, 1, 0, 0, 59.9, -48, 25.4
Strikeout, 0, 0, 2, 1, None, None, 25.4
Flyout, 0, 0, 0, 0, 86.9, 29, 25.4
Strikeout, 2, 0, 3, 0, None, None, 25.4
GIDP, 0, 0, 0, 0, 86.3, -24, 25.4
Groundout, 0, 1, 1, 0, 76.8, 1, 25.4
Groundout, 1, 1, 0, 0, 58.9, -19, 25.4
Double, 1, 0, 0, 1, 101.7, 25, 25.4
Strikeout, 1, 0, 3, 0, None, None, 25.4
Single, 1, 1, 0, 1, 89.7, 9, 25.4
Groundout, 2, 1, 0, 0, 59.9, -48, 25.4
Groundout, 0, 0, 2, 0, 70.3, -16, 28.6
Strikeout, 0, 0, 2, 0, None, None, 28.6
Single, 2, 0, 0, 2, 93.8, 13, 28.6
Walk, 4, 0, 0, 0, None, None, 28.6
Walk, 4, 1, 1, 1, None, None, 28.6
Walk, 4, 0, 0, 0, None, None, 28.6
Walk, 4, 1, 0, 0, None, None, 28.6
Groundout, 2, 0, 0, 1, 66.3, -19, 28.6
Flyout, 3, 0, 0, 2, 87.0, 40, 28.6
Single, 1, 1, 1, 0, 84.4, 1, 28.6
Single, 1, 1, 1, 1, 92.7, -2, 28.6
Strikeout, 1, 2, 1, 1, None, None, 28.6
Sac Bunt, 1, 0, 0, 0, 42.7, -60, 28.6
Groundout, 1, 1, 0, 1, 81.2, 10, 28.6
Strikeout, 1, 1, 2, 0, None, None, 28.6
Groundout, 1, 0, 0, 0, 77.5, -45, 28.6
Single, 1, 0, 0, 0, 93.2, -7, 28.6
